Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Earliest language in life,English speaking monolingual,Bilingual,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65a0a5208acfe7a5515573ef,56462fb1d01e6b0006727cbe,RETURNED,2024-01-12T02:34:11.514000Z,,,2024-01-12T05:31:18.517289Z,,,1230,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65a0a5fd6ba14dc8d40a6013,5ded4f9eff7f7141577d409a,APPROVED,2024-01-12T02:37:49.692000Z,2024-01-12T02:41:42.683000Z,2024-01-12T13:14:34.129000Z,2024-01-12T02:41:43.140037Z,233.0,C72EX8CS,1201,English,English,I only know English,none just my native langauge,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
65a0a6628df63a282e2119b0,5e7d790c0d34ae3fef75c74e,RETURNED,2024-01-12T02:39:34.706000Z,,,2024-01-12T05:31:18.520197Z,,,1297,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65a0a66383112fdfea09c4ac,5a95cf6289de8200013edb03,APPROVED,2024-01-12T02:39:39.072000Z,2024-01-12T02:42:54.358000Z,2024-01-12T13:15:05.177000Z,2024-01-12T02:42:54.805558Z,196.0,C72EX8CS,452,English,English,I only know English,none just my native langauge,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
65a0a68c8df63a282e2119b5,5a91cb166219a30001d2e6ef,APPROVED,2024-01-12T02:40:17.495000Z,2024-01-12T02:42:28.906000Z,2024-01-12T13:15:05.487000Z,2024-01-12T02:42:29.338065Z,132.0,C72EX8CS,1544,English,English,I only know English,none just my native langauge,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65a0a6c16d1220a64a0f5688,6161e9289e5e2f9c0840f65f,APPROVED,2024-01-12T02:41:09.051000Z,2024-01-12T02:43:20.627000Z,2024-01-12T13:15:05.659000Z,2024-01-12T02:43:21.132573Z,132.0,C72EX8CS,605,English,English,I only know English,none just my native langauge,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65a0a73a1ffc042b4f547527,593ec9b706c3b80001d681c5,APPROVED,2024-01-12T02:43:12.253000Z,2024-01-12T02:46:45.679000Z,2024-01-12T13:15:05.825000Z,2024-01-12T02:46:46.117317Z,214.0,C72EX8CS,1630,English,English,I only know English,none just my native langauge,52,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65a0a773b70cd6898be5db74,5f0b1c32d61a4a0490b557f1,RETURNED,2024-01-12T02:44:08.013000Z,,,2024-01-12T05:31:18.520512Z,,,679,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65a0a798f51e8f6fd7a75a38,654fcfd6bfd6b2be99cd197a,APPROVED,2024-01-12T02:44:44.743000Z,2024-01-12T02:46:50.195000Z,2024-01-12T13:15:06.010000Z,2024-01-12T02:46:50.576550Z,126.0,C72EX8CS,110,English,English,I only know English,none just my native langauge,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
65a0a810c58774cde45ffc3f,592a232ed13ea60001553e51,APPROVED,2024-01-12T02:46:40.779000Z,2024-01-12T02:48:39.217000Z,2024-01-12T13:15:06.202000Z,2024-01-12T02:48:39.712231Z,119.0,C72EX8CS,1296,English,English,I only know English,none just my native langauge,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
