Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Earliest language in life,English speaking monolingual,Bilingual,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65a097bf1a16a3bf7b8db818,60fcd868a7648e1df6bd0646,APPROVED,2024-01-12T01:37:10.929000Z,2024-01-12T01:39:32.374000Z,2024-01-12T13:14:53.600000Z,2024-01-12T01:39:32.820613Z,142.0,C72EX8CS,578,English,English,I only know English,none just my native langauge,29,Female,White,United States,United States,United States,English,No,Full-Time
65a098f7f51e8f6fd7a757e9,5d4236a20799c40001d2ac40,RETURNED,2024-01-12T01:52:15.540000Z,,,2024-01-12T05:30:39.189905Z,,,1167,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65a098fc587aebae10afc08c,59db7128e776fd00015ec895,APPROVED,2024-01-12T01:42:39.526000Z,2024-01-12T01:48:11.763000Z,2024-01-12T13:14:53.923000Z,2024-01-12T01:48:12.241663Z,333.0,C72EX8CS,2300,English,English,I only know English,none just my native langauge,41,Female,White,United States,United States,United States,English,No,Full-Time
65a0997c214275fb72e5d796,6522c07710e3e5ad08b6c167,RETURNED,2024-01-12T01:54:28.003000Z,,,2024-01-12T05:30:39.194297Z,,,66,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65a099ed3ac2f375865f6457,63051036335540246d84e1a1,RETURNED,2024-01-12T01:46:24.946000Z,,,2024-01-12T05:30:39.197519Z,,,210,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65a09a2803787e97c70f9165,5c68e62b0b6131000141eb64,APPROVED,2024-01-12T01:47:26.945000Z,2024-01-12T01:50:11.626000Z,2024-01-12T13:14:54.128000Z,2024-01-12T01:50:12.087731Z,165.0,C72EX8CS,580,English,English,I only know English,none just my native langauge,33,Female,White,United States,United States,United States,English,No,Other
65a09a2a975ac8e822b3863f,58ff1433d51f110001e1e511,RETURNED,2024-01-12T01:47:27.245000Z,,,2024-01-12T05:30:39.201562Z,,,365,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65a09a3af7837fc70b953961,6159143cce4a07d2333c3082,APPROVED,2024-01-12T01:47:42.638000Z,2024-01-12T01:50:18.605000Z,2024-01-12T13:14:54.329000Z,2024-01-12T01:50:19.080156Z,156.0,C72EX8CS,96,English,English,I only know English,none just my native langauge,31,Male,White,United States,United States,United States,English,No,Full-Time
65a09a79d15130d9d4b38c8c,659568d7476090878b92fd3b,APPROVED,2024-01-12T01:48:47.546000Z,2024-01-12T01:52:37.339000Z,2024-01-12T13:14:54.528000Z,2024-01-12T01:52:37.763622Z,230.0,C72EX8CS,5,English,English,I only know English,none just my native langauge,39,Female,White,United States,United States,United States,English,No,Full-Time
65a09a9a4720b6d4848fe940,63d01e0731b6c1359a543d57,APPROVED,2024-01-12T01:49:24.014000Z,2024-01-12T01:52:43.268000Z,2024-01-12T13:14:54.731000Z,2024-01-12T01:52:43.718289Z,200.0,C72EX8CS,533,English,English,I only know English,none just my native langauge,34,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65a09ae6a2fdb2829e09c5d5,5dabd2828a78c7001c59eb82,APPROVED,2024-01-12T01:50:34.480000Z,2024-01-12T01:52:55.180000Z,2024-01-12T13:14:54.940000Z,2024-01-12T01:52:55.640884Z,141.0,NOCODE,1379,English,English,I only know English,none just my native langauge,26,Female,White,United States,United States,United States,English,No,Full-Time
65a09af5587aebae10afc0d1,60fcb7afde5ab78707e377d6,APPROVED,2024-01-12T01:50:50.965000Z,2024-01-12T01:52:53.318000Z,2024-01-12T13:14:55.137000Z,2024-01-12T01:52:53.765306Z,123.0,C72EX8CS,1583,English,English,I only know English,none just my native langauge,25,Female,White,United States,United States,United States,English,No,Full-Time
65a09b75ffb5858eba8fe75a,5f596ab59eb6401c8bfbbe23,APPROVED,2024-01-12T01:52:56.717000Z,2024-01-12T01:55:36.482000Z,2024-01-12T13:14:55.348000Z,2024-01-12T01:55:36.947098Z,160.0,C72EX8CS,415,English,English,I only know English,none just my native langauge,29,Female,White,United States,United States,United States,English,Yes,Full-Time
65a09b93987bd492454d5d21,5e77a65dcce2a2319f9e8849,APPROVED,2024-01-12T01:53:26.050000Z,2024-01-12T01:55:44.535000Z,2024-01-12T13:14:55.557000Z,2024-01-12T01:55:44.950452Z,139.0,NOCODE,658,English,English,I only know English,none just my native langauge,49,Female,White,United States,United States,United States,English,No,Other
65a09bc4d96f47480f33fb2d,58742bf5d53c97000159df8c,APPROVED,2024-01-12T01:54:17.604000Z,2024-01-12T01:56:40.775000Z,2024-01-12T13:14:55.759000Z,2024-01-12T01:56:41.344356Z,144.0,C72EX8CS,6447,English,English,I only know English,none just my native langauge,34,Female,White,United States,United States,United States,English,No,Part-Time
65a09bc5158e1166c55f614f,6102c837758ab633b284bd56,APPROVED,2024-01-12T01:54:16.811000Z,2024-01-12T01:56:43.877000Z,2024-01-12T13:14:55.951000Z,2024-01-12T01:56:44.483326Z,148.0,C72EX8CS,720,English,English,I only know English,none just my native langauge,22,Female,Black,United States,United States,United States,English,Yes,Part-Time
65a09c52cb1340048e211ac2,641cc28be30b83c95b9bffc9,APPROVED,2024-01-12T01:56:37.869000Z,2024-01-12T01:59:14.960000Z,2024-01-12T13:14:56.169000Z,2024-01-12T01:59:15.400828Z,158.0,C72EX8CS,781,English,English,I only know English,none just my native langauge,24,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
65a09c5d15917193ea8a7b56,5c3630c83ce2c8000111b504,APPROVED,2024-01-12T01:56:49.226000Z,2024-01-12T01:59:24.147000Z,2024-01-12T13:14:56.409000Z,2024-01-12T01:59:24.515111Z,155.0,C72EX8CS,2758,English,English,I only know English,none just my native langauge,65,Female,White,United States,United States,United States,English,No,Part-Time
65a09c6f7981ab69f5c34411,5dd348356d522535afddc44e,APPROVED,2024-01-12T01:57:12.776000Z,2024-01-12T02:00:08.129000Z,2024-01-12T13:14:56.618000Z,2024-01-12T02:00:08.923100Z,176.0,C72EX8CS,3837,English,English,I only know English,none just my native langauge,54,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
65a09cd697cef2e56e60010e,611183736a78c1e33c3ac725,APPROVED,2024-01-12T01:58:49.424000Z,2024-01-12T02:01:15.579000Z,2024-01-12T13:14:57.170000Z,2024-01-12T02:01:16.012648Z,147.0,C72EX8CS,239,English,English,I only know English,none just my native langauge,21,Female,White,United States,United States,United States,English,Yes,Part-Time
65a09cfa6451f41271c34471,5ffc9acaaacffc0cb55ba3ab,APPROVED,2024-01-12T01:59:27.027000Z,2024-01-12T02:01:57.947000Z,2024-01-12T13:14:57.369000Z,2024-01-12T02:01:58.408114Z,151.0,C72EX8CS,1498,English,English,I only know English,none just my native langauge,55,Female,White,United States,United States,United States,English,No,Full-Time
65a09d2197cef2e56e600113,5e6d43ffd5d24630bd0bf726,APPROVED,2024-01-12T02:00:04.416000Z,2024-01-12T02:03:02.015000Z,2024-01-12T13:14:57.574000Z,2024-01-12T02:03:02.479824Z,178.0,C72EX8CS,1797,English,English,I only know English,none just my native langauge,37,Male,White,United States,United States,United States,English,No,Full-Time
65a09d2c30a5ced3f5c4652f,610178e2304c24bc7256b26a,APPROVED,2024-01-12T02:00:18.262000Z,2024-01-12T02:02:46.780000Z,2024-01-12T13:14:57.780000Z,2024-01-12T02:02:47.177106Z,149.0,C72EX8CS,180,English,English,I only know English,none just my native langauge,26,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
